pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
414.480000,215.370000,394.840000,413.100000,410.630960,272.376000,407.208359,324.462861,409.398823,283.227430,408.890671,291.951681,408.206923,301.185065,407.685606,307.839075,407.981061,315.560477
414.980000,219.930000,397.940000,413.110000,408.851207,277.440001,405.976223,323.257147,408.988111,286.121144,408.206923,294.561116,407.409217,304.396677,407.685606,309.455183,407.094697,315.560477
415.040000,211.930000,402.880000,413.110000,413.369040,268.035428,410.630960,323.739433,411.863096,281.780572,411.853579,290.145149,410.941915,300.582888,410.443182,306.761670,410.935606,315.380910
413.590000,212.750000,401.910000,413.120000,412.547616,266.106285,410.630960,325.186290,413.095232,278.404572,411.967537,287.937166,411.283789,298.174179,410.935606,304.606861,410.541667,315.919612
414.590000,210.120000,397.980000,413.110000,413.916656,264.418285,409.672632,323.980576,413.095232,275.510858,412.537327,287.334989,411.625663,297.772728,411.329545,304.786428,410.935606,314.842207
417.470000,205.720000,398.980000,413.100000,415.422601,263.212571,411.041672,324.462861,415.422601,273.099429,414.246698,284.324103,413.335033,296.367647,412.708333,303.529456,412.412879,312.148695
417.070000,211.300000,401.930000,413.110000,415.422601,266.588571,411.041672,325.186290,414.738081,277.440001,413.904824,286.732812,413.676908,297.170550,413.299242,305.325130,413.003788,315.021775
415.650000,208.860000,403.930000,413.120000,413.779752,265.865143,411.041672,323.257147,414.190464,275.510858,413.221075,285.929909,412.537327,298.174179,412.117424,305.684265,411.821970,314.123937
413.550000,218.820000,406.920000,413.110000,411.315480,271.893715,408.851207,323.016004,412.547616,283.227430,410.486083,290.345875,410.144209,298.374905,409.556818,304.786428,409.655303,312.866965
413.650000,218.850000,408.940000,413.110000,410.904768,266.829714,408.988111,323.739433,410.083344,283.468573,410.258167,291.550229,409.460461,298.374905,410.147727,305.325130,409.753788,311.609993
410.430000,223.560000,408.880000,413.100000,408.851207,279.851429,408.440495,324.704004,409.672632,288.532573,408.206923,294.761841,408.434839,301.787243,408.571970,308.916480,408.473485,315.380910
413.090000,220.780000,408.900000,413.110000,410.083344,277.681144,408.988111,325.186290,409.672632,286.362287,409.574419,295.163293,408.890671,303.794500,409.261364,309.096048,409.458333,316.099180
415.710000,218.770000,410.990000,413.100000,412.273808,267.312000,410.220248,323.257147,411.726192,286.121144,411.283789,292.553858,410.600041,301.385791,411.034091,307.659508,411.723485,315.021775
415.960000,216.430000,411.900000,413.100000,413.779752,269.482286,411.863096,322.292575,413.095232,282.021715,412.537327,291.550229,412.309411,301.385791,412.215909,307.659508,412.117424,314.842207
416.410000,207.000000,410.920000,413.100000,414.190464,261.042285,411.863096,323.980576,413.779752,276.234286,413.335033,287.134263,413.676908,299.579259,413.102273,306.222968,413.496212,314.123937
415.340000,210.210000,412.870000,413.090000,414.738081,264.418285,413.505944,322.533718,414.601177,275.993143,413.562950,287.736440,414.018782,300.181437,414.185606,307.300373,414.087121,314.483072
417.740000,203.270000,412.930000,413.110000,416.654737,259.354285,414.738081,322.292575,416.380929,272.376000,415.956068,284.926280,415.272320,297.772728,415.465909,304.786428,415.268939,312.866965
420.160000,209.890000,411.970000,413.110000,417.202353,263.936000,416.654737,321.569147,418.708297,273.099429,417.437522,285.327731,416.753774,297.572002,416.549242,304.786428,416.746212,313.405667
422.480000,209.050000,412.920000,413.100000,420.077338,263.694857,417.476161,322.533718,420.488050,274.064000,420.058556,283.119748,418.463144,298.776356,418.125000,305.863833,417.632576,314.303505
425.410000,211.370000,415.890000,413.090000,422.952322,265.865143,417.886873,323.739433,421.309474,274.787429,421.881885,285.327731,420.400430,295.966196,420.981061,304.606861,420.291667,314.123937
427.490000,212.640000,416.980000,413.110000,423.636842,268.035428,420.898762,323.980576,423.773746,278.163429,423.249381,288.539343,422.565633,298.174179,422.162879,306.222968,421.276515,314.303505
425.640000,209.010000,410.970000,413.110000,422.404706,263.936000,418.434489,325.186290,421.583282,273.340572,421.198136,286.732812,420.514388,297.170550,419.602273,305.145563,418.617424,314.123937
425.870000,213.210000,401.920000,413.110000,421.993994,267.312000,416.244025,321.810290,420.898762,276.234286,421.084178,287.736440,420.058556,298.776356,419.011364,306.761670,417.928030,314.842207
425.720000,205.410000,398.850000,413.090000,422.404706,260.318856,416.380929,323.257147,421.720186,272.376000,421.084178,285.528457,420.058556,298.977082,418.912879,306.761670,418.617424,313.405667
424.650000,211.080000,398.940000,413.110000,419.666626,265.382857,415.559505,325.427433,420.351146,274.787429,419.032934,286.130634,417.437522,298.374905,416.549242,307.300373,415.958333,314.303505
423.540000,205.530000,397.950000,413.110000,420.351146,259.354285,413.779752,324.704004,418.845201,272.617143,418.463144,283.521200,417.437522,297.572002,416.844697,306.402535,415.564394,314.842207
422.150000,209.760000,397.890000,413.110000,418.708297,263.694857,413.916656,325.909719,419.119009,274.064000,417.779396,284.926280,417.095648,297.772728,416.549242,306.761670,415.367424,315.021775
419.910000,206.500000,401.890000,413.110000,419.119009,262.971428,415.833313,323.016004,418.845201,272.376000,418.805018,283.521200,417.779396,298.374905,417.238636,305.684265,416.450758,314.303505
419.130000,209.380000,404.970000,413.110000,418.297585,264.659428,415.833313,323.257147,418.297585,273.340572,417.779396,284.725554,417.323564,298.374905,416.844697,307.839075,416.450758,314.303505
421.370000,212.510000,407.920000,413.110000,418.708297,266.588571,416.654737,323.980576,418.023777,275.510858,417.779396,285.327731,416.981690,298.776356,416.549242,306.402535,416.746212,314.123937
423.300000,209.910000,410.880000,413.090000,421.309474,263.936000,418.434489,323.257147,420.761858,274.064000,420.058556,283.721925,418.463144,296.969825,418.420455,305.325130,418.617424,314.483072
421.550000,215.140000,409.930000,413.100000,419.119009,271.170286,416.654737,324.704004,418.708297,280.574858,418.463144,286.532086,417.095648,297.572002,416.844697,305.684265,416.746212,315.560477
421.530000,208.890000,409.960000,413.100000,418.845201,266.588571,416.791641,323.980576,418.845201,277.681144,418.691060,286.130634,418.349186,298.174179,417.829545,305.145563,417.435606,313.764802
421.810000,214.420000,412.940000,413.100000,418.845201,271.170286,417.613065,323.016004,419.255913,280.574858,418.805018,288.338618,418.691060,299.579259,418.420455,306.402535,418.321970,314.303505
424.630000,209.550000,413.890000,413.090000,420.077338,265.141714,417.613065,323.980576,421.571970,275.157793,420.058556,286.130634,419.146892,298.776356,419.011364,306.222968,419.109848,314.303505
427.200000,213.940000,413.000000,413.110000,422.404706,270.205714,418.708297,323.257147,422.404706,278.163429,422.109801,287.736440,420.400430,298.977082,420.390152,305.863833,419.700758,314.483072
431.370000,211.690000,411.980000,413.110000,427.743963,267.312000,421.309474,322.533718,427.185606,277.312603,425.870415,285.327731,424.275003,297.772728,423.738636,305.145563,423.344697,315.380910
436.310000,213.340000,412.960000,413.110000,430.618948,269.482286,425.005883,323.739433,431.026515,278.928710,430.086862,287.134263,428.719365,298.776356,428.367424,306.222968,427.087121,313.764802
437.400000,214.470000,414.950000,413.100000,432.398700,271.170286,427.059443,323.257147,433.083220,279.851429,431.340400,288.338618,430.314778,299.378534,429.056818,306.222968,428.071970,315.560477
437.960000,211.060000,413.000000,413.110000,433.493932,265.865143,425.827307,324.462861,432.261796,276.957715,431.340400,287.736440,430.770610,299.579259,429.647727,306.222968,428.367424,313.226100
439.620000,214.400000,411.960000,413.100000,435.273685,267.312000,428.565387,323.257147,433.630836,278.404572,432.366022,289.743698,431.112484,301.385791,430.731061,307.659508,429.844697,313.226100
438.740000,208.680000,415.930000,413.100000,436.095109,262.489142,430.345140,322.292575,435.753788,275.876063,433.847476,286.732812,433.049770,299.579259,432.306818,306.941238,431.912879,314.123937
436.860000,214.040000,417.950000,413.100000,435.273685,268.035428,431.440372,323.980576,434.867424,277.312603,433.847476,287.134263,434.189350,299.980711,433.193182,307.300373,432.700758,314.842207
438.810000,204.650000,413.010000,413.110000,436.095109,261.524571,430.208236,323.739433,436.095109,270.929143,434.873098,283.521200,434.075392,296.969825,432.799242,305.145563,431.321970,314.303505
440.080000,209.660000,408.980000,413.090000,436.095109,265.865143,428.565387,323.016004,434.862973,274.546286,434.531224,285.327731,432.707896,297.772728,431.912879,305.145563,430.632576,311.789560
441.950000,206.900000,410.980000,413.100000,437.601053,264.659428,429.934428,324.462861,437.231061,273.900820,435.442888,284.725554,433.733518,297.170550,433.193182,304.606861,431.518939,313.405667
443.900000,211.800000,410.000000,413.100000,438.970093,267.312000,429.386811,323.980576,436.916533,276.957715,435.556846,287.736440,434.189350,298.977082,432.799242,306.222968,431.518939,313.405667
438.320000,213.170000,404.980000,413.100000,433.493932,268.035428,424.458266,323.257147,431.166564,278.404572,430.998526,288.338618,428.719365,299.378534,426.693182,306.761670,426.200758,314.842207
432.160000,213.050000,396.960000,413.110000,425.005883,264.659428,415.833313,323.739433,424.868979,278.404572,423.249381,288.539343,421.767927,297.572002,420.193182,304.606861,418.518939,313.226100
428.650000,217.320000,387.980000,413.110000,419.529722,271.652572,410.904768,322.292575,417.886873,282.745144,417.437522,291.349504,417.437522,299.980711,415.367424,305.325130,413.200758,313.405667
422.650000,212.490000,384.870000,413.960000,415.422601,268.276571,406.934551,323.016004,413.779752,279.610287,413.221075,288.539343,410.827957,299.378534,410.147727,306.941238,409.064394,315.021775
412.300000,218.400000,382.870000,414.000000,407.345263,271.652572,401.595294,323.980576,405.291703,281.780572,404.332350,290.747326,403.648602,297.772728,403.647727,305.145563,403.253788,313.764802
405.380000,210.460000,379.830000,413.980000,401.595294,268.758857,396.666749,324.462861,401.047678,278.404572,400.229862,289.141521,399.887988,298.776356,399.117424,305.325130,398.132576,313.764802
401.690000,216.940000,373.940000,413.990000,396.666749,271.652572,391.190588,324.462861,396.256037,281.780572,395.785499,289.944424,395.101751,298.977082,394.094697,305.863833,392.912879,315.380910
398.030000,210.570000,365.990000,414.010000,392.559628,266.588571,385.440619,323.257147,392.012012,281.298287,390.771347,291.148778,388.948019,298.977082,388.284091,305.145563,387.496212,314.303505
394.810000,209.090000,361.020000,414.020000,387.631083,264.418285,379.827554,325.186290,387.220371,277.681144,386.213026,286.933537,384.503656,299.579259,383.753788,306.761670,382.276515,315.380910
385.270000,206.740000,359.950000,414.030000,380.648978,262.247999,376.541857,325.186290,380.512074,274.064000,379.831377,285.729183,379.375545,299.378534,378.829545,306.402535,376.958333,315.021775
375.040000,206.550000,358.080000,414.030000,371.887120,262.489142,370.654984,324.704004,372.024024,274.064000,371.968275,283.320474,371.284526,292.955310,371.640152,301.554213,370.950758,313.764802
369.510000,212.670000,356.070000,414.030000,365.863343,268.758857,363.672878,325.427433,366.274055,280.574858,365.700584,287.937166,366.042458,295.966196,365.731061,303.529456,364.450758,313.764802
365.370000,212.120000,358.060000,414.030000,361.208606,265.141714,361.756222,324.462861,362.851454,279.610287,363.079549,288.137892,363.307465,296.568373,363.170455,304.606861,361.890152,312.866965
360.370000,221.980000,358.070000,414.030000,357.649101,274.064000,358.333621,325.427433,357.649101,287.809144,358.293313,294.159664,358.521229,300.582888,358.443182,306.761670,358.640152,315.560477
359.010000,221.660000,348.950000,414.030000,355.869349,275.269715,353.815788,325.186290,355.458637,288.291430,354.532698,295.966196,355.102488,304.396677,354.602273,311.250858,354.700758,318.074422
