body_X,body_Y,nectary_X,nectary_Y,prob_base_X,prob_base_Y,prob_mid_X,prob_mid_Y,prob_1_X,prob_1_Y,prob_2_X,prob_2_Y,prob_3_X,prob_3_Y,prob_4_X,prob_4_Y,prob_5_X,prob_5_Y
381.12,386.67,376.89,188.02,380.648978,332.758857,378.184705,278.260567,380.922786,319.978285,380.51512599999995,311.45339900000005,379.37554500000005,302.621466,379.420455,295.77703199999996,380.109848,286.439523
379.84824100000003,376.12053199999997,375.01,188.01,377.773993,322.630856,377.226377,277.295996,378.184705,314.190856,377.324301,309.64686800000004,378.349923,301.216386,377.943182,294.52006,378.041667,286.439523
379.84824100000003,377.493916,374.93,188.02,377.36328100000003,323.354285,375.172817,278.019424,378.047801,316.361142,377.324301,309.64686800000004,376.754511,301.216386,377.253788,295.597465,376.859848,287.516928
380.05,376.86,374.95,188.02,380.922786,317.08457000000004,378.458513,278.260567,380.51207400000004,309.850284,380.059293,303.825821,379.03367099999997,296.599694,379.617424,291.467412,379.026515,285.00298300000003
380.69,376.78,375.85,188.02,381.470402,318.531427,380.238266,278.019424,382.565634,311.538284,381.540748,306.03380400000003,380.40116800000004,297.201871,381.094697,291.467412,380.700758,285.00298300000003
380.75,376.97,375.91,188.02,379.827554,326.24799900000005,380.101362,278.019424,379.006129,313.70857,378.691797,308.44251299999996,379.37554500000005,297.804048,379.912879,293.442655,379.223485,286.08038799999997
381.05,377.45,375.89,188.02,381.333498,325.524571,379.69065,278.260567,380.238266,315.63771299999996,380.059293,308.643239,379.03367099999997,300.61420899999996,379.912879,293.981357,379.026515,286.08038799999997
381.067521,389.396578,375.95,188.02,382.976346,333.723429,380.51207400000004,276.090281,383.11325,322.871999,383.25011800000004,314.665011,382.11053799999996,305.63235299999997,382.375,297.213572,381.587121,286.439523
381.98197999999996,386.64981,375.83,188.02,383.387058,328.659428,380.51207400000004,277.537139,381.333498,320.942856,381.768664,312.657754,382.11053799999996,303.223644,381.685606,296.136167,380.503788,286.439523
383.41,393.49,374.87,188.02,383.11325,336.376,381.05969,276.81371,382.976346,325.765714,382.224496,313.46065699999997,382.11053799999996,304.427998,382.276515,296.136167,381.094697,286.61908999999997
