167,"            3          2
-0.0001219 x + 0.1093 x - 32.61 x + 3585"
168,"           3          2
-0.000166 x + 0.1484 x - 44.12 x + 4721"
169,"            3           2
-8.427e-05 x + 0.07436 x - 21.78 x + 2475"
170,"           3           2
3.931e-05 x - 0.03529 x + 10.53 x - 689.2"
171,"           3           2
8.287e-05 x - 0.07678 x + 23.66 x - 2068"
172,"           3           2
-1.44e-05 x + 0.01148 x - 2.996 x + 612.3"
173,"           3           2
-9.53e-05 x + 0.08433 x - 24.81 x + 2786"
174,"          3           2
7.62e-06 x - 0.00862 x + 3.089 x + 4.021"
175,"            3           2
-2.902e-05 x + 0.02483 x - 7.047 x + 1025"
176,"            3           2
-9.071e-05 x + 0.08042 x - 23.7 x + 2683"
177,"            3          2
-0.0001317 x + 0.1164 x - 34.18 x + 3703"
178,"           3          2
-0.000151 x + 0.1371 x - 41.5 x + 4555"
179,"            3           2
-2.565e-05 x + 0.02333 x - 7.095 x + 1098"
180,"            3           2
-8.566e-05 x + 0.07808 x - 23.67 x + 2766"
181,"          3           2
3.63e-05 x - 0.03332 x + 10.23 x - 665.1"
182,"           3           2
1.147e-05 x - 0.01095 x + 3.514 x + 12.32"
183,"           3           2
5.211e-05 x - 0.04742 x + 14.41 x - 1064"
184,"            3           2
-1.806e-05 x + 0.01612 x - 4.722 x + 848.2"
185,"            3           2
-3.376e-05 x + 0.03019 x - 8.873 x + 1249"
186,"            3           2
-4.534e-05 x + 0.04025 x - 11.81 x + 1538"
187,"           3           2
4.594e-05 x - 0.04372 x + 13.85 x - 1066"
188,"           3           2
1.577e-05 x - 0.01569 x + 5.21 x - 179.7"
189,"           3           2
2.731e-05 x - 0.02559 x + 8.025 x - 444.8"
190,"            3           2
-1.819e-05 x + 0.01631 x - 4.785 x + 853.5"
191,"           3           2
-7.39e-05 x + 0.06666 x - 19.94 x + 2370"
192,"            3          2
-5.868e-05 x + 0.0532 x - 15.97 x + 1979"
193,"            3            2
-3.676e-06 x + 0.002333 x - 0.3306 x + 376.4"
194,"            3            2
-1.044e-06 x + 0.001242 x - 0.3605 x + 408.8"
195,"           3           2
3.049e-05 x - 0.02897 x + 9.262 x - 612.7"
196,"            3           2
-2.903e-05 x + 0.02465 x - 6.842 x + 996.7"
197,"           3           2
2.061e-05 x - 0.01815 x + 5.352 x - 154.6"
198,"          3            2
3.99e-06 x - 0.004477 x + 1.625 x + 181.1"
199,"           3            2
7.432e-06 x - 0.007023 x + 2.239 x + 132.8"
200,"           3            2
9.727e-06 x - 0.009406 x + 2.986 x + 60.6"
201,"           3          2
1.937e-05 x - 0.0191 x + 6.256 x - 309.2"
202,"            3            2
-1.046e-05 x + 0.008658 x - 2.302 x + 568.1"
203,"           3           2
-1.74e-05 x + 0.01524 x - 4.396 x + 793.8"
204,"            3           2
-4.037e-05 x + 0.03718 x - 11.41 x + 1542"
205,"            3            2
-1.112e-05 x + 0.009904 x - 2.981 x + 676.5"
206,"            3           2
-3.277e-05 x + 0.02886 x - 8.47 x + 1200"
207,"            3           2
-6.833e-05 x + 0.06089 x - 18.06 x + 2155"
208,"            3           2
-1.529e-05 x + 0.01404 x - 4.288 x + 812"
209,"            3           2
-3.312e-05 x + 0.02881 x - 8.352 x + 1187"
210,"            3            2
-1.113e-05 x + 0.009902 x - 2.909 x + 666.2"
211,"            3           2
-7.608e-05 x + 0.06806 x - 20.2 x + 2374"
212,"            3           2
-5.551e-05 x + 0.04876 x - 14.17 x + 1750"
213,"           3           2
1.384e-05 x - 0.01269 x + 3.915 x - 22.37"
214,"            3          2
-2.785e-05 x + 0.0239 x - 6.733 x + 1005"
215,"           3           2
3.004e-05 x - 0.02782 x + 8.627 x - 509.2"
216,"          3          2
-4.4e-05 x + 0.0396 x - 11.77 x + 1542"
217,"            3           2
-4.079e-05 x + 0.03709 x - 11.14 x + 1492"
218,"           3          2
-5.21e-05 x + 0.0469 x - 13.95 x + 1755"
219,"            3           2
-4.086e-05 x + 0.03685 x - 10.94 x + 1452"
220,"           3           2
3.074e-05 x - 0.02826 x + 8.767 x - 539.1"
221,"            3           2
-6.278e-05 x + 0.05579 x - 16.37 x + 1960"
222,"           3           2
3.075e-05 x - 0.02931 x + 9.342 x - 620.9"
223,"            3           2
-1.888e-05 x + 0.01695 x - 5.03 x + 867.8"
224,"            3           2
-1.449e-05 x + 0.01348 x - 4.107 x + 782.7"
225,"            3            2
-3.399e-06 x + 0.001224 x + 0.2728 x + 273.4"
226,"            3           2
-2.125e-05 x + 0.01936 x - 5.789 x + 941.6"
227,"           3           2
-1.77e-05 x + 0.01528 x - 4.306 x + 768.3"
228,"            3           2
-6.117e-05 x + 0.05607 x - 17.02 x + 2084"
229,"            3            2
-3.248e-06 x + 0.002145 x - 0.3176 x + 357.1"
230,"           3            2
8.798e-06 x - 0.008475 x + 2.809 x + 45.76"
231,"           3            2
3.483e-06 x - 0.004644 x + 1.973 x + 90.44"
232,"            3           2
-1.669e-05 x + 0.01464 x - 4.174 x + 739.2"
233,"            3           2
-4.167e-05 x + 0.03771 x - 11.3 x + 1472"
234,"            3            2
-2.593e-06 x + 0.001719 x - 0.2762 x + 347.1"
235,"            3           2
-9.617e-05 x + 0.08749 x - 26.46 x + 3007"
236,"            3           2
-4.319e-05 x + 0.03725 x - 10.65 x + 1352"
237,"            3           2
-4.699e-05 x + 0.04236 x - 12.71 x + 1612"
238,"            3          2
-5.282e-05 x + 0.0477 x - 14.37 x + 1784"
239,"            3           2
-3.841e-05 x + 0.03519 x - 10.7 x + 1420"
240,"            3          2
-3.025e-06 x + 0.0021 x - 0.4258 x + 360"
241,"            3            2
-8.549e-06 x + 0.008522 x - 2.801 x + 642.2"
242,"           3           2
2.599e-05 x - 0.02444 x + 7.648 x - 461"
243,"           3           2
3.729e-05 x - 0.03483 x + 10.83 x - 787.9"
244,"            3           2
-2.693e-05 x + 0.02416 x - 7.181 x + 1040"
245,"            3           2
-6.335e-05 x + 0.05546 x - 16.13 x + 1892"
246,"            3           2
-6.225e-05 x + 0.05632 x - 16.93 x + 2023"
247,"            3           2
-0.0001038 x + 0.09368 x - 28.12 x + 3138"
248,"            3            2
-9.975e-06 x + 0.007443 x - 1.744 x + 456.1"
249,"           3            2
3.476e-07 x - 0.001076 x + 0.5567 x + 254.2"
250,"           3           2
1.269e-05 x - 0.01364 x + 4.82 x - 228.7"
251,"            3           2
-3.608e-05 x + 0.03368 x - 10.4 x + 1393"
252,"            3           2
-8.411e-05 x + 0.07629 x - 22.99 x + 2627"
253,"            3           2
-2.389e-05 x + 0.02131 x - 6.275 x + 934.5"
254,"           3           2
1.403e-05 x - 0.01327 x + 4.193 x - 117"
255,"           3           2
3.287e-05 x - 0.03156 x + 10.06 x - 738.1"
256,"            3           2
-4.048e-05 x + 0.03699 x - 11.22 x + 1458"
257,"            3          2
-5.016e-05 x + 0.0456 x - 13.76 x + 1705"
258,"            3           2
-6.373e-06 x + 0.00575 x - 1.695 x + 488.1"
259,"            3          2
-9.815e-06 x + 0.0088 x - 2.602 x + 578.9"
260,"            3          2
-5.394e-05 x + 0.0485 x - 14.47 x + 1760"
261,"            3           2
-3.115e-05 x + 0.02736 x - 7.996 x + 1107"
262,"           3            2
5.332e-06 x - 0.006405 x + 2.415 x + 39.07"
263,"           3           2
2.294e-05 x - 0.02195 x + 6.964 x - 398.2"
264,"            3           2
-3.566e-05 x + 0.03046 x - 8.601 x + 1140"
265,"            3           2
-1.385e-05 x + 0.01156 x - 3.149 x + 615.9"
266,"           3           2
-2.93e-05 x + 0.02622 x - 7.791 x + 1109"
267,"           3           2
7.059e-05 x - 0.06415 x + 19.4 x - 1606"
268,"            3           2
-2.693e-05 x + 0.02424 x - 7.243 x + 1068"
